Host,Status,IP Address,Min (ms),Max (ms),Avg (ms),Error Detail
102.214.66.19,Ok,102.214.66.19,200.19553,217.576866,210.24553,
102.214.66.39,Ok,102.214.66.39,182.91907,200.803315,193.542137,
103.146.200.98,Ok,103.146.200.98,226.565569,271.159317,229.623551,
103.185.255.183,Err,,,,,Timeout { seq: PingSequence(0)}
105.235.237.2,Ok,105.235.237.2,245.930999,324.77722,257.528296,
107.1.167.50,Ok,107.1.167.50,57.514985,58.198596,57.713548,
109.61.86.65,Ok,109.61.86.65,26.882396,27.385316,27.041818,
109.61.94.65,Ok,109.61.94.65,127.6354,128.822849,127.835767,
121.127.43.65,Ok,121.127.43.65,46.710754,47.265921,46.860378,
121.127.45.65,Ok,121.127.45.65,108.746935,109.916958,108.898186,
138.199.14.66,Ok,138.199.14.66,151.225426,152.029992,151.416279,
138.199.4.1,Ok,138.199.4.1,130.327791,132.271251,130.508887,
138.199.57.129,Ok,138.199.57.129,17.104427,20.089989,17.294373,
143.244.63.144,Ok,143.244.63.144,188.116597,189.387186,188.236657,
148.230.45.213,Ok,148.230.45.213,99.081384,187.835934,126.946799,
148.230.59.38,Ok,148.230.59.38,84.506106,85.944392,85.05858,
148.230.60.200,Ok,148.230.60.200,130.391078,133.789768,131.411718,
152.204.128.194,Ok,152.204.128.194,78.405983,81.6251,78.651942,
154.81.51.4,Err,,,,,Timeout { seq: PingSequence(0)}
156.146.40.65,Ok,156.146.40.65,122.301321,122.779326,122.484465,
156.146.52.1,Err,,,,,Timeout { seq: PingSequence(0)}
156.146.53.53,Ok,156.146.53.53,52.88433,53.545372,53.104155,
160.242.19.254,Ok,160.242.19.254,178.130111,179.63639,178.317695,
169.150.202.193,Ok,169.150.202.193,194.923664,196.04499,195.120891,
169.150.228.129,Ok,169.150.228.129,97.822787,98.968037,98.009511,
169.150.238.161,Ok,169.150.238.161,302.113471,303.18176,302.272758,
169.150.242.129,Ok,169.150.242.129,120.770609,138.945301,130.244248,
169.150.252.2,Ok,169.150.252.2,141.589707,145.752909,142.580823,
170.254.229.178,Ok,170.254.229.178,93.626424,94.768515,93.90134,
173.243.131.29,Ok,173.243.131.29,31.965746,33.545401,32.238519,
178.215.228.109,Ok,178.215.228.109,101.321148,102.69669,101.524422,
185.102.217.170,Ok,185.102.217.170,130.240977,163.030558,138.805403,
185.102.218.1,Ok,185.102.218.1,101.054205,103.028482,101.861309,
185.102.219.93,Ok,185.102.219.93,105.277247,106.607165,105.469511,
185.152.65.113,Ok,185.152.65.113,110.447592,131.679256,121.091289,
185.152.66.67,Ok,185.152.66.67,27.4465,32.310186,27.73634,
185.152.67.2,Ok,185.152.67.2,55.739119,56.429521,55.981138,
185.180.12.40,Ok,185.180.12.40,119.421207,119.892674,119.556015,
185.246.208.67,Ok,185.246.208.67,133.332308,134.034893,133.523505,
185.59.221.51,Ok,185.59.221.51,158.292216,159.483152,158.469274,
185.59.223.8,Ok,185.59.223.8,22.49212,23.043579,22.729866,
185.76.9.135,Ok,185.76.9.135,107.225105,107.911994,107.398372,
185.93.1.65,Ok,185.93.1.65,5.468772,6.235966,5.667511,
185.93.2.193,Ok,185.93.2.193,95.432618,95.882617,95.618992,
185.93.3.50,Ok,185.93.3.50,96.967097,99.144678,97.132705,
195.181.162.195,Ok,195.181.162.195,33.674982,71.002813,45.070721,
207.211.214.65,Ok,207.211.214.65,103.833472,105.225087,104.016221,
209.40.123.215,Ok,209.40.123.215,43.9694,49.22167,45.009394,
212.60.47.34,Ok,212.60.47.34,105.039549,125.927713,115.604374,
212.60.92.134,Ok,212.60.92.134,152.193699,155.829206,152.439652,
213.158.175.240,Ok,213.158.175.240,146.321083,147.350223,146.568937,
217.61.40.96,Ok,217.61.40.96,109.075232,113.77703,109.401959,
23.249.54.234,Ok,23.249.54.234,40.721994,41.397348,40.965238,
23.249.55.42,Ok,23.249.55.42,200.938585,202.12454,201.312146,
23.249.58.14,Ok,23.249.58.14,172.25058,176.037351,173.630483,
23.249.60.154,Ok,23.249.60.154,140.946638,142.008391,141.185728,
23.249.61.122,Ok,23.249.61.122,278.885943,281.690005,279.632663,
37.19.203.1,Ok,37.19.203.1,133.842489,134.640273,134.011832,
37.19.206.20,Err,,,,,Timeout { seq: PingSequence(0)}
37.19.216.1,Ok,37.19.216.1,33.9618,34.600184,34.156959,
37.19.218.65,Ok,37.19.218.65,123.713185,145.404815,135.545828,
41.110.39.130,Ok,41.110.39.130,119.148513,120.983685,119.963646,
41.210.185.162,Ok,41.210.185.162,227.322205,306.508394,228.268089,
41.226.22.119,Ok,41.226.22.119,137.627837,138.437339,137.96923,
45.92.46.189,Err,,,,,Timeout { seq: PingSequence(0)}
66.35.20.123,Ok,66.35.20.123,69.170973,71.628418,69.386538,
66.35.22.79,Ok,66.35.22.79,16.574767,17.35921,16.89212,
66.35.27.207,Ok,66.35.27.207,34.507431,37.305403,34.864632,
66.35.30.9,Ok,66.35.30.9,47.695234,53.868687,48.585519,
66.35.31.81,Ok,66.35.31.81,140.479621,141.258932,140.793079,
69.48.236.198,Ok,69.48.236.198,290.44372,294.532502,291.773164,
69.48.237.66,Err,,,,,Timeout { seq: PingSequence(0)}
69.48.238.200,Ok,69.48.238.200,202.190836,350.687701,204.253245,
69.48.239.124,Ok,69.48.239.124,238.062154,398.480817,260.771017,
79.127.209.1,Ok,79.127.209.1,148.860074,149.350853,148.99047,
84.17.41.11,Ok,84.17.41.11,54.098179,54.691613,54.28423,
84.17.57.129,Ok,84.17.57.129,195.078717,200.276463,195.308109,
84.17.59.129,Ok,84.17.59.129,158.864947,160.718535,159.344968,
85.163.71.241,Ok,85.163.71.241,112.734202,130.313936,122.770506,
86.96.154.106,Ok,86.96.154.106,239.318705,240.284261,239.54977,
87.249.137.8,Ok,87.249.137.8,102.257533,102.732107,102.42244,
89.187.160.1,Ok,89.187.160.1,145.448149,145.95261,145.644635,
89.187.162.1,Ok,89.187.162.1,195.525952,196.153513,195.6882,
89.187.164.1,Ok,89.187.164.1,27.445515,30.248392,28.432478,
89.187.165.1,Ok,89.187.165.1,118.224636,118.775993,118.416413,
96.45.38.22,Ok,96.45.38.22,205.718633,206.845199,205.956324,
96.45.39.38,Ok,96.45.39.38,101.975183,102.96014,102.327525,
96.45.40.45,Ok,96.45.40.45,91.230353,112.313851,102.047204,
96.45.41.167,Ok,96.45.41.167,103.554135,104.851388,103.934142,
96.45.42.156,Ok,96.45.42.156,91.049248,94.452506,91.813133,
96.45.43.6,Ok,96.45.43.6,18.076986,18.613226,18.355603,
96.45.44.87,Ok,96.45.44.87,199.158244,229.824268,201.485183,
a110.speedtest.wobcom.de,Err,,,,,Timeout { seq: PingSequence(0)}
a204.speedtest.wobcom.de,Ok,62.176.247.4,92.661943,110.248038,102.958051,
a205.speedtest.wobcom.de,Ok,62.176.246.197,106.713737,128.201819,116.864972,
a208.speedtest.wobcom.de,Err,,,,,Timeout { seq: PingSequence(0)}
a209.speedtest.wobcom.de,Ok,62.176.246.73,107.090741,112.637422,107.378551,
a210.speedtest.wobcom.de,Ok,62.176.246.8,100.430378,100.950641,100.647124,
a400.speedtest.wobcom.de,Ok,62.176.246.171,106.967325,116.327618,107.530226,
akl.linetest.nz,Ok,101.98.9.197,179.866816,265.73771,202.834879,
ams.speedtest.clouvider.net,Ok,194.127.172.176,92.644781,111.850952,102.790363,
as21723.goco.ca,Ok,74.49.158.20,38.423812,39.590904,38.626346,
ash.speedtest.clouvider.net,Ok,45.250.25.133,19.806992,20.405714,20.044956,
atl.speedtest.clouvider.net,Ok,92.119.16.139,18.944635,20.486009,19.218736,
chch.linetest.nz,Ok,101.98.9.201,192.037457,192.399846,192.168367,
dal.speedtest.clouvider.net,Ok,2.56.188.136,27.347392,28.762996,27.570933,
dfw.speedtest.is.cc,Ok,157.250.201.61,41.379292,42.510152,41.604293,
fra.speedtest.clouvider.net,Err,,,,,Timeout { seq: PingSequence(0)}
iperf-ams-nl.eranium.net,Ok,217.18.95.142,95.248517,114.69432,106.064026,
iperf.as42831.net,Ok,31.132.7.130,87.52603,88.291235,87.794254,
iperf.online.net,Ok,51.158.1.21,92.693248,94.282213,92.886767,
iperf.scbd.net.id,Ok,115.85.65.8,206.236991,210.128898,206.443483,
iperf3.moji.fr,Ok,45.147.210.189,95.690187,96.758727,95.837797,
it1.speedtest.aruba.it,Ok,31.14.130.68,117.227465,120.718238,117.473276,
la.speedtest.clouvider.net,Ok,77.247.126.223,57.444543,57.809616,57.571396,
lg.ams-nl.terrahost.com,Ok,45.88.200.26,113.539475,114.10363,113.746203,
lg.gigahost.no,Ok,185.125.168.212,110.32207,128.083957,120.353864,
lg.terrahost.com,Ok,185.125.168.212,110.073878,128.674077,119.971125,
lg.vie.alwyzon.net,Ok,86.106.182.189,111.150131,146.371578,118.754877,
lisboa.speedtest.net.zon.pt,Err,,,,,Timeout { seq: PingSequence(0)}
lon.speedtest.clouvider.net,Err,,,,,Timeout { seq: PingSequence(0)}
nyc.speedtest.clouvider.net,Ok,194.33.45.192,22.131899,22.652741,22.267853,
ping-90ms.online.net,Ok,51.158.1.19,182.640327,183.728386,182.853202,
ping-ams1.online.net,Ok,163.172.208.7,96.328458,96.813595,96.474298,
ping.online.net,Ok,51.158.1.21,92.672197,93.193684,92.862357,
porto.speedtest.net.zon.pt,Err,,,,,Timeout { seq: PingSequence(0)}
scaleway.testdebit.info,Ok,62.210.156.7,93.186572,94.032515,93.384258,
sgp.proof.ovh.net,Ok,15.235.182.181,208.563449,213.012826,209.254749,
spd-desrv.hostkey.com,Ok,185.84.224.68,101.442996,104.349205,101.944116,
spd-fisrv.hostkey.com,Ok,212.237.217.41,115.590583,116.467518,115.919805,
spd-icsrv.hostkey.com,Ok,195.162.68.38,124.283256,126.05299,124.521124,
spd-uswb.hostkey.com,Ok,139.60.160.88,22.552425,23.202636,22.920415,
speed.mymanga.pro,Ok,102.215.35.132,220.878933,300.152335,221.89476,
speed.netfiber.net.il,Err,,,,,Timeout { seq: PingSequence(0)}
speed.rimon.net.il,Err,,,,,Timeout { seq: PingSequence(0)}
speed1.fiberby.dk,Ok,193.106.164.10,103.988911,105.088412,104.253942,
speed2.fiberby.dk,Ok,193.106.166.153,103.949521,109.55851,104.285627,
speedtest-ams-nl.as215248.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.ams1.nl.leaseweb.net,Ok,95.211.20.80,101.934921,102.858412,102.121787,
speedtest.ams1.novogara.net,Ok,185.216.141.19,94.538029,114.197345,106.53194,
speedtest.ams2.nl.leaseweb.net,Ok,178.162.166.76,95.049015,95.785548,95.286981,
speedtest.awbb.net,Ok,104.245.79.230,37.118677,47.011808,44.11008,
speedtest.chi11.us.leaseweb.net,Ok,23.19.208.9,7.534697,8.343133,7.701299,
speedtest.dal13.us.leaseweb.net,Ok,209.58.159.68,25.4546,26.157145,25.724553,
speedtest.fra1.de.leaseweb.net,Ok,178.162.226.176,106.898135,107.95395,107.333574,
speedtest.hiper.dk,Ok,185.118.248.162,120.014903,121.123564,120.192918,
speedtest.hkg12.hk.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.init7.net,Ok,82.197.188.129,105.530069,105.973842,105.69813,
speedtest.ip-projects.de,Ok,185.245.99.75,101.504268,112.63838,101.840666,
speedtest.iway.ch,Ok,95.143.54.63,107.038282,107.898763,107.364405,
speedtest.kamel.network,Ok,93.177.80.27,106.660425,107.089778,106.815368,
speedtest.keff.org,Ok,45.154.255.51,112.312939,116.450258,112.593191,
speedtest.lagoon.nc,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.lax12.us.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.lon1.uk.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.lon12.uk.leaseweb.net,Ok,81.17.61.145,94.054528,94.666199,94.319767,
speedtest.lu.buyvm.net,Ok,104.244.76.191,105.614663,106.376088,105.755368,
speedtest.masnet.ec,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.mia11.us.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.mtl2.ca.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.netone.nl,Ok,195.95.177.10,148.387874,166.370103,159.328619,
speedtest.nl1.mirhosting.net,Ok,185.15.210.116,93.316114,110.923399,102.878213,
speedtest.nocix.net,Ok,208.110.65.2,12.786906,13.438045,12.98834,
speedtest.nyc1.us.leaseweb.net,Ok,108.62.52.129,23.571745,24.22807,23.802014,
speedtest.phx1.us.leaseweb.net,Ok,23.81.207.31,44.660584,45.309707,44.925492,
speedtest.sao1.edgoo.net,Ok,146.19.95.34,177.131149,179.156927,177.47664,
speedtest.sea11.us.leaseweb.net,Ok,23.82.193.66,55.053141,56.053048,55.277303,
speedtest.sfo12.us.leaseweb.net,Ok,23.81.166.99,52.181543,59.231493,52.456886,
speedtest.shinternet.ch,Ok,88.213.191.212,103.068063,103.603253,103.225668,
speedtest.sin1.sg.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.singnet.com.sg,Ok,165.21.70.1,213.369753,214.121496,213.532763,
speedtest.syd12.au.leaseweb.net,Ok,23.106.244.70,185.805866,196.171832,186.270538,
speedtest.telecom.mu,Ok,202.123.3.108,336.507555,481.430036,339.346613,
speedtest.tyo11.jp.leaseweb.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest.uztelecom.uz,Ok,195.69.189.215,187.747282,188.807505,187.933918,
speedtest.wdc2.us.leaseweb.net,Ok,23.105.9.80,24.429451,25.179243,24.666642,
speedtest.wobcom.de,Ok,62.176.224.217,92.558902,110.641402,102.463612,
speedtest.wtnet.de,Ok,213.209.106.95,103.865777,104.92927,104.094632,
speedtest.xmission.com,Ok,198.60.22.18,36.805743,80.652524,39.637409,
speedtest1.cwpanama.net,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest1.flowjamaica.com,Ok,69.79.207.214,54.711889,63.674096,61.805584,
speedtest1.sox.rs,Err,,,,,Timeout { seq: PingSequence(0)}
speedtest120.dal1.tx.hostedbackbone.net,Ok,64.112.186.242,23.687223,103.954558,44.374101,
speedtest15.suddenlink.net,Ok,146.112.61.104,5.666179,6.977709,5.849321,
speedtest2.comvergence.com.au,Ok,103.31.113.244,201.820189,231.35651,203.355798,
speedtest2.lightningfibre.net.uk,Ok,194.24.162.86,87.672687,113.516984,98.959862,
speedtest6.cwpanama.net,Ok,201.225.207.3,69.332802,70.337042,69.549004,
speedtestfl.telecom.mu,Ok,197.227.12.18,338.507031,338.995631,338.678491,
syd.proof.ovh.net,Ok,51.161.209.134,286.898838,289.861045,287.94466,
t5.cscs.ch,Ok,148.187.129.10,102.582975,103.022594,102.777967,
yyc-speedtest.xplore.ca,Ok,69.168.185.43,39.26006,39.793251,39.464124,
